"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","32,150","33,700","34,800","30,550","2.59M","-4.60%"
"11/01/2024","33,700","31,000","33,750","29,300","2.33M","9.06%"
"10/01/2024","30,900","29,500","32,650","28,900","4.03M","3.87%"
"09/01/2024","29,750","33,000","33,000","29,400","3.08M","-9.85%"
"08/01/2024","33,000","34,900","35,800","28,600","3.32M","-6.25%"
"07/01/2024","35,200","32,500","36,000","31,050","3.39M","8.64%"
"06/01/2024","32,400","33,700","39,500","32,100","4.30M","-4.71%"
"05/01/2024","34,000","36,800","37,500","32,950","1.65M","-9.09%"
"04/01/2024","37,400","36,800","37,800","31,950","2.30M","3.46%"
"03/01/2024","36,150","37,450","37,650","33,750","2.72M","-2.30%"
"02/01/2024","37,000","41,300","44,150","37,000","3.59M","-11.27%"
"01/01/2024","41,700","35,700","42,700","34,950","3.31M","15.67%"
"12/01/2023","36,050","38,300","39,050","35,500","2.10M","-5.87%"
"11/01/2023","38,300","34,500","38,550","34,100","3.10M","11.82%"
"10/01/2023","34,250","30,550","34,650","28,850","3.89M","9.95%"
"09/01/2023","31,150","30,750","32,800","30,050","2.38M","0.48%"
"08/01/2023","31,000","30,200","31,750","29,450","3.52M","1.31%"
"07/01/2023","30,600","34,900","35,500","29,500","4.76M","-11.94%"
"06/01/2023","34,750","36,400","38,100","34,250","2.84M","-4.27%"
"05/01/2023","36,300","35,250","37,650","33,950","3.14M","3.13%"
"04/01/2023","35,200","32,600","35,550","32,000","3.96M","8.81%"
"03/01/2023","32,350","32,800","34,450","31,000","4.40M","-1.97%"
"02/01/2023","33,000","38,000","38,950","32,900","3.29M","-13.16%"
"01/01/2023","38,000","34,350","38,650","30,950","3.92M","12.59%"
"12/01/2022","33,750","42,000","42,500","33,450","3.22M","-19.35%"
"11/01/2022","41,850","34,600","41,850","34,200","3.71M","21.48%"
"10/01/2022","34,450","35,100","38,000","34,050","3.81M","0.44%"
"09/01/2022","34,300","40,600","44,200","33,850","5.07M","-16.24%"
"08/01/2022","40,950","40,750","46,000","39,950","5.36M","0.99%"
"07/01/2022","40,550","41,950","43,150","36,900","4.41M","-2.17%"
"06/01/2022","41,450","52,000","52,000","38,150","6.45M","-20.75%"
"05/01/2022","52,300","59,600","60,500","48,350","7.50M","-13.27%"
"04/01/2022","60,300","66,000","67,500","58,100","6.04M","-8.98%"
"03/01/2022","66,250","64,750","69,750","62,500","9.46M","3.11%"
"02/01/2022","64,250","58,750","65,250","54,750","6.24M","10.30%"
"01/01/2022","58,250","60,750","67,000","53,000","9.44M","-2.10%"
"12/01/2021","59,500","55,250","63,000","55,000","3.71M","7.69%"
"11/01/2021","55,250","68,250","69,500","54,750","5.25M","-18.15%"
"10/01/2021","67,500","66,250","70,000","64,000","3.34M","0.75%"
"09/01/2021","67,000","70,750","72,500","65,250","4.21M","-4.96%"
"08/01/2021","70,500","73,250","73,500","61,750","5.74M","-3.75%"
"07/01/2021","73,250","71,250","79,500","71,250","8.87M","3.17%"
"06/01/2021","71,000","67,250","71,750","65,500","6.10M","5.58%"
"05/01/2021","67,250","65,750","72,250","65,000","8.13M","1.13%"
"04/01/2021","66,500","60,500","69,750","59,250","12.48M","10.37%"
"03/01/2021","60,250","56,500","63,250","53,500","15.40M","8.56%"
"02/01/2021","55,500","55,500","65,000","51,750","17.08M","-0.45%"
