"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","17,350","19,480","20,100","17,030","7.48M","-10.93%"
"11/01/2024","19,480","17,770","19,880","16,860","7.95M","9.62%"
"10/01/2024","17,770","18,340","19,320","17,440","8.46M","-3.11%"
"09/01/2024","18,340","20,350","20,750","17,870","10.08M","-10.54%"
"08/01/2024","20,500","19,800","21,750","16,560","22.98M","3.27%"
"07/01/2024","19,850","15,000","20,400","14,840","22.95M","32.07%"
"06/01/2024","15,030","15,040","15,580","14,450","5.89M","0.27%"
"05/01/2024","14,990","16,320","16,500","14,590","6.14M","-9.04%"
"04/01/2024","16,480","14,970","16,720","14,040","13.22M","10.23%"
"03/01/2024","14,950","15,960","16,050","14,860","7.24M","-6.27%"
"02/01/2024","15,950","15,010","16,230","14,740","10.44M","5.56%"
"01/01/2024","15,110","14,840","15,760","13,860","9.73M","0.60%"
"12/01/2023","15,020","16,270","16,380","14,660","10.65M","-7.34%"
"11/01/2023","16,210","13,210","17,400","13,210","16.32M","23.18%"
"10/01/2023","13,160","13,990","14,060","12,670","10.70M","-6.20%"
"09/01/2023","14,030","14,540","14,940","13,640","10.83M","-3.44%"
"08/01/2023","14,530","14,640","14,970","13,440","17.68M","-0.55%"
"07/01/2023","14,610","18,740","19,240","13,370","45.92M","-21.62%"
"06/01/2023","18,640","20,800","21,950","18,020","14.35M","-10.17%"
"05/01/2023","20,750","21,250","22,150","19,820","15.65M","-3.94%"
"04/01/2023","21,600","20,950","22,550","20,600","14.58M","4.60%"
"03/01/2023","20,650","22,250","23,150","19,960","14.10M","-7.19%"
"02/01/2023","22,250","23,400","24,450","21,700","15.89M","-4.51%"
"01/01/2023","23,300","21,250","24,100","19,250","22.32M","10.17%"
"12/01/2022","21,150","24,000","25,850","21,150","22.70M","-9.62%"
"11/01/2022","23,400","21,800","24,950","21,600","26.90M","7.83%"
"10/01/2022","21,700","22,900","24,150","20,800","20.49M","-3.77%"
"09/01/2022","22,550","29,750","30,000","22,550","14.81M","-25.21%"
"08/01/2022","30,150","29,750","33,500","29,300","14.33M","1.17%"
"07/01/2022","29,800","32,250","32,950","26,900","16.56M","-5.55%"
"06/01/2022","31,550","39,800","39,900","29,600","13.28M","-20.73%"
"05/01/2022","39,800","41,650","43,150","37,150","11.82M","-5.35%"
"04/01/2022","42,050","46,400","46,900","39,300","12.21M","-9.38%"
"03/01/2022","46,400","43,000","49,550","42,250","17.76M","8.28%"
"02/01/2022","42,850","39,800","43,200","37,900","8.05M","9.17%"
"01/01/2022","39,250","39,600","45,250","36,450","14.84M","-0.88%"
"12/01/2021","39,600","36,500","42,250","36,400","7.56M","7.90%"
"11/01/2021","36,700","41,450","43,300","36,500","9.03M","-11.25%"
"10/01/2021","41,350","42,500","42,750","40,000","8.65M","-3.27%"
"09/01/2021","42,750","44,550","47,350","41,850","11.77M","-4.47%"
"08/01/2021","44,750","44,250","44,850","38,300","11.61M","1.59%"
"07/01/2021","44,050","43,050","45,450","41,250","15.82M","2.68%"
"06/01/2021","42,900","44,900","46,050","40,650","16.88M","-4.13%"
"05/01/2021","44,750","43,600","46,450","42,300","14.71M","1.36%"
"04/01/2021","44,150","43,400","48,850","40,850","27.65M","2.67%"
"03/01/2021","43,000","37,000","45,000","35,400","25.57M","18.29%"
"02/01/2021","36,350","38,200","43,800","35,900","16.20M","-4.72%"
"01/01/2021","38,150","38,300","45,200","37,250","23.42M","0.93%"
"12/01/2020","37,800","31,750","39,550","31,200","19.83M","19.24%"
"11/01/2020","31,700","26,700","33,300","26,700","11.98M","18.73%"
"10/01/2020","26,700","24,150","28,700","24,000","10.79M","10.56%"
"09/01/2020","24,150","24,700","26,400","23,150","8.27M","-2.23%"
"08/01/2020","24,700","26,850","29,500","24,350","15.73M","-8.35%"
"07/01/2020","26,950","25,100","28,300","24,700","9.29M","9.78%"
"06/01/2020","24,550","28,500","30,450","24,000","10.42M","-14.01%"
"05/01/2020","28,550","24,800","29,250","23,350","12.21M","12.85%"
"04/01/2020","25,300","19,950","25,700","18,700","14.04M","23.41%"
"03/01/2020","20,500","26,100","28,350","14,650","17.88M","-21.90%"
"02/01/2020","26,250","27,800","30,750","25,950","7.90M","-6.25%"
"01/01/2020","28,000","30,900","31,000","27,550","7.44M","-9.82%"
