"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","25,400","27,600","27,950","24,100","10.35M","-7.47%"
"11/01/2024","27,450","27,800","29,650","27,100","21.54M","-1.61%"
"10/01/2024","27,900","30,250","30,850","27,800","6.72M","-8.52%"
"09/01/2024","30,500","32,100","32,400","29,550","5.89M","-4.69%"
"08/01/2024","32,000","33,450","33,500","29,050","10.48M","-4.33%"
"07/01/2024","33,450","32,050","34,900","31,700","14.93M","4.37%"
"06/01/2024","32,050","33,450","33,950","31,450","5.97M","-3.46%"
"05/01/2024","33,200","35,300","36,000","33,050","6.39M","-6.35%"
"04/01/2024","35,450","33,050","35,750","31,200","9.27M","7.42%"
"03/01/2024","33,000","34,550","34,800","33,000","8.74M","-4.90%"
"02/01/2024","34,700","34,300","35,500","33,200","11.30M","0.14%"
"01/01/2024","34,650","34,500","34,950","31,200","10.51M","-0.72%"
"12/01/2023","34,900","36,250","36,900","33,950","7.53M","-2.65%"
"11/01/2023","35,850","33,550","37,800","33,450","8.05M","7.34%"
"10/01/2023","33,400","35,750","37,700","33,250","11.63M","-7.86%"
"09/01/2023","36,250","35,750","37,850","35,100","8.69M","2.11%"
"08/01/2023","35,500","37,400","38,150","33,300","11.59M","-5.08%"
"07/01/2023","37,400","38,400","39,550","34,550","20.70M","-1.84%"
"06/01/2023","38,100","38,350","44,400","37,300","22.37M","-0.52%"
"05/01/2023","38,300","40,900","41,650","38,250","8.23M","-6.59%"
"04/01/2023","41,000","36,950","42,200","36,850","11.11M","12.48%"
"03/01/2023","36,450","36,250","37,900","35,050","11.24M","0.14%"
"02/01/2023","36,400","38,200","39,500","36,000","11.28M","-4.34%"
"01/01/2023","38,050","35,150","39,650","32,550","15.12M","9.03%"
"12/01/2022","34,900","41,250","42,100","34,600","10.38M","-14.88%"
"11/01/2022","41,000","35,500","44,450","35,250","18.94M","17.48%"
"10/01/2022","34,900","38,050","39,850","33,000","16.16M","-6.93%"
"09/01/2022","37,500","47,650","47,750","37,300","12.79M","-22.20%"
"08/01/2022","48,200","42,050","49,250","41,350","18.94M","14.35%"
"07/01/2022","42,150","42,000","42,850","36,100","10.63M","1.93%"
"06/01/2022","41,350","43,300","43,350","35,400","11.40M","-4.50%"
"05/01/2022","43,300","44,550","45,350","40,150","9.19M","-2.81%"
"04/01/2022","44,550","47,750","47,800","41,900","9.51M","-6.99%"
"03/01/2022","47,900","43,350","51,100","43,100","18.48M","10.62%"
"02/01/2022","43,300","42,450","44,000","40,650","9.29M","2.61%"
"01/01/2022","42,200","45,200","47,500","38,500","16.71M","-5.06%"
"12/01/2021","44,450","44,400","51,200","43,900","13.50M","0.57%"
"11/01/2021","44,200","50,600","52,400","43,850","8.93M","-12.13%"
"10/01/2021","50,300","51,200","52,000","49,100","6.96M","-2.14%"
"09/01/2021","51,400","54,200","56,600","50,200","9.83M","-4.36%"
"08/01/2021","53,742","53,257","53,742","46,625","12.83M","1.46%"
"07/01/2021","52,967","57,034","59,939","51,999","18.67M","-6.18%"
"06/01/2021","56,453","55,775","57,712","51,418","22.99M","1.57%"
"05/01/2021","55,581","48,319","55,581","47,593","20.72M","13.89%"
"04/01/2021","48,803","42,800","53,161","41,541","30.87M","14.42%"
"03/01/2021","42,654","39,314","43,768","37,377","16.87M","10.68%"
"02/01/2021","38,539","38,975","44,349","38,249","15.58M","-1.12%"
"01/01/2021","38,975","36,844","45,027","36,360","43.48M","7.48%"
"12/01/2020","36,264","32,971","38,152","32,874","27.90M","11.46%"
"11/01/2020","32,535","29,873","34,569","29,679","23.34M","9.62%"
"10/01/2020","29,679","29,243","31,567","28,953","11.54M","0.66%"
"09/01/2020","29,485","31,228","32,439","28,372","12.35M","-5.58%"
"08/01/2020","31,228","33,020","35,973","30,357","22.74M","-5.98%"
"07/01/2020","33,213","32,245","35,198","32,148","17.11M","3.78%"
"06/01/2020","32,003","32,971","40,573","30,357","34.89M","-3.36%"
"05/01/2020","33,116","33,601","34,617","30,889","15.74M","-2.43%"
"04/01/2020","33,940","26,241","35,344","24,208","24.78M","27.69%"
"03/01/2020","26,580","33,601","35,440","18,543","28.51M","-20.90%"
"02/01/2020","33,601","36,554","39,846","33,165","10.86M","-9.16%"
"01/01/2020","36,990","40,863","41,202","36,264","11.33M","-9.69%"
