DATE,INDEX
2020.1.1,90.57
2020.2.1,90.88
2020.3.1,91.37
2020.4.1,91.62
2020.5.1,91.74
2020.6.1,92.12
2020.7.1,92.68
2020.8.1,93.12
2020.9.1,93.52
2020.10.1,93.81
2020.11.1,94.32
2020.12.1,95.16
2021.1.1,95.92
2021.2.1,96.78
2021.3.1,97.49
2021.4.1,98.18
2021.5.1,98.86
2021.6.1,100.0
2021.7.1,100.85
2021.8.1,101.82
2021.9.1,102.76
2021.10.1,103.66
2021.11.1,104.32
2021.12.1,104.62
2022.1.1,104.72
2022.2.1,104.75
2022.3.1,104.77
2022.4.1,104.83
2022.5.1,104.84
2022.6.1,104.84
2022.7.1,104.76
2022.8.1,104.46
2022.9.1,103.95
2022.10.1,103.15
2022.11.1,101.74
2022.12.1,99.72
2023.1.1,98.23
2023.2.1,97.11
2023.3.1,96.35
2023.4.1,95.9
2023.5.1,95.69
2023.6.1,95.63
2023.7.1,95.66
2023.8.1,95.81
2023.9.1,96.05
2023.10.1,96.24
2023.11.1,96.28
2023.12.1,96.18
2024.1.1,96.04
2024.2.1,95.9
2024.3.1,95.79
2024.4.1,95.74
2024.5.1,95.72
2024.6.1,95.75
2024.7.1,95.9
2024.8.1,96.13
2024.9.1,96.3
2024.10.1,96.37
2024.11.1,96.37
2024.12.1,96.3
,
,
,
